days_since_start,results
359,20380
358,21204
357,20001
356,20160
355,20879
354,20011
353,15554
352,20281
351,21937
350,20490
349,22180
348,24137
347,26010
346,22166
345,22336
344,22853
343,22176
342,20824
341,24101
340,22873
339,21947
338,21157
337,23640
336,21199
335,24899
334,23509
333,23153
332,25577
331,23873
330,24646
329,22628
328,2569
327,23739
326,26051
325,25206
324,26381
323,24197
322,27705
321,26663
320,27437
319,24288
318,24991
317,24749
316,29208
315,27465
314,25576
313,27475
312,26536
311,25085
310,24660
309,25993
308,27467
307,28984
306,27213
305,26096
304,31068
303,29743
302,27330
301,29554
300,27670
299,27502
298,26498
297,24672
296,25156
295,27905
294,27609
293,30063
292,28953
291,28947
290,29279
289,29084
288,28637
287,28741
286,28322
285,28612
284,31269
283,30459
282,30403
281,28906
280,27197
279,29151
278,28575
277,26878
276,28408
275,26905
274,29026
273,32522
272,30935
271,32014
270,32288
269,30088
268,28202
267,31223
266,30477
265,31355
264,30985
263,31706
262,28994
261,32777
260,31509
259,34455
258,31976
257,31277
256,35050
255,33102
254,33418
253,37309
252,33344
251,32142
250,29497
249,29147
248,27887
247,29237
246,32172
245,31962
244,30992
243,32734
242,32733
241,32018
240,31191
239,35724
238,31903
237,35343
236,33660
235,34281
234,30214
233,31241
232,34716
231,36737
230,33700
229,33549
228,35888
227,35617
226,38245
225,33965
224,34938
223,35815
222,35105
221,35376
220,31652
219,35276
218,34198
217,37301
216,37654
215,36223
214,35516
213,36223
212,38841
211,37350
210,37229
209,38381
208,34909
207,36662
206,39250
205,37353
204,37791
203,40650
202,38384
201,39171
200,39228
199,39813
198,36769
197,43099
196,39086
195,42237
194,39667
193,42574
192,39611
191,38769
190,39234
189,40549
188,46246
187,46910
186,40545
185,41785
184,47094
183,42806
182,43407
181,47344
180,44578
179,42645
178,40486
177,41765
176,47248
175,44212
174,45645
173,47312
172,47986
171,50450
170,46089
169,50617
168,53111
167,47645
166,53342
165,50484
164,55359
163,47205
162,54665
161,53430
160,55989
159,59968
158,53802
157,56684
156,51958
155,55376
154,60020
153,61026
152,58991
151,58478
150,56738
149,58263
148,65431
147,61278
146,63241
145,62768
144,60969
143,56839
142,60069
141,63846
140,63188
139,62723
138,63380
137,66431
136,67909
135,66814
134,69884
133,70920
132,73933
131,70722
130,68349
129,67115
128,73225
127,77585
126,75673
125,79446
124,74412
123,88932
122,72518
121,74458
120,76292
119,85979
118,107750
117,85817
116,95643
115,77658
114,77991
113,106652
112,88974
111,98967
110,103153
109,91548
108,97452
107,95562
106,119232
105,97955
104,102007
103,108899
102,112383
101,106681
100,107987
99,129991
98,113448
97,123255
96,114907
95,109828
94,126241
93,134210
92,141158
91,117761
90,117856
89,121356
88,129651
87,124532
86,155079
85,144648
84,135219
83,158139
82,149070
81,173696
80,165468
79,149507
78,150197
77,169066
76,156785
75,160161
74,173636
73,154987
72,156311
71,179830
70,169071
69,217856
68,202855
67,185406
66,179436
65,192049
64,226349
63,208884
62,201799
61,207473
60,218595
59,218595
58,229895
57,203730
56,240018
55,257304
54,240137
53,251094
52,250413
51,248363
50,255907
49,250674
48,277576
47,306356
46,278731
45,273306
44,282327
43,265238
42,342003
41,289721
40,287836
39,261521
38,277471
37,269885
36,278826
35,304830
34,305372
33,336236
32,288228
31,311018
30,319698
29,359679
28,358176
